Codigo;Persona
677808;111
677809;9885
677810;16434
678401;47
678402;602
678403;82
678404;87
678405;90
678406;27
678407;138
678408;8601
678409;33
678410;92
678411;95
678412;187
679101;6625
679102;13944
679103;8076
679104;5978
679105;183
679106;364
679107;273
679108;221
679109;690
679110;2775
679111;508
679112;12893
679113;14836
679114;779
679115;932
679116;174
679117;213
679118;8852
679119;6574
679120;9067
679121;14906
679122;15008
679801;151
679802;170
679803;89
679804;68
679805;395
679806;178
679807;7622
679808;30
679809;182
679810;293
681201;141
681202;56
681203;81
681204;166
681205;1302
681206;18
681901;517
681902;255
681903;118
681904;6836
681905;832
681906;256
681907;50
681908;161
681909;3698
682601;14512
682602;7833
682603;84
682604;922
